Paper_name,Paper_link,Included,Reason,Notes
Abdallah_etal_2015,https://pubmed.ncbi.nlm.nih.gov/25604310/,No,Less than 5 deletions total,
Addai_Mensah_etal_2020,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364488/,No,Less than 5 deletions total,
Akinyi_etal_2013,https://pubmed.ncbi.nlm.nih.gov/24077522/,Yes,,
Akinyi_etal_2015,https://www.ncbi.nlm.nih.gov/pubmed/25978499,No,Data not available at sub-ADMIN1,
Akinyi_etal_2015B,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0126805,No,Less than 5 deletions total,
Alemayehu_etal_2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8095343/#MOESM3,Yes,,
Amoah_etal_2016,https://pubmed.ncbi.nlm.nih.gov/26891848/,No,Data not available at sub-ADMIN1,
Amoah_etal_2020,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7473533/,No,Data not available at sub-ADMIN1,
Atroosh_etal_2015,https://parasitesandvectors.biomedcentral.com/articles/10.1186/s13071-015-1008-x,No,Data not available at sub-ADMIN1,
Bakari_etal_2020,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7640459/,No,Less than 5 deletions total,
Baldeviano_etal_2015,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4412223/,No,Data not available at sub-ADMIN1,
Bendezu_etal_2022,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0273872,No,Mixed symptomatic and asymptomatic,
Berhane_etal_2017,https://malariajournal.biomedcentral.com/articles/10.1186/s12936-017-1752-9,No,Data not available at sub-ADMIN1,
Berhane_etal_2018,https://wwwnc.cdc.gov/eid/article/24/3/17-1723_article,Yes,,
Berzosa_etal_2020,https://malariajournal.biomedcentral.com/articles/10.1186/s12936-020-03178-9,No,Data not available at sub-ADMIN1,
Beshir_etal_2017,https://www.nature.com/articles/s41598-017-15031-2.epdf?author_access_token=If7t1PwEEsnM-DP8AsuBlNRgN0jAjWel9jnR3ZoTv0O4WmIwef1G51_B2J6lGihlrhYPQWM9rK5p8_ND_Osu-Un1FF590eYvkueXpFOjo__osjTdXh4r7Fmkl3AxaUn6nPFcbDOoJ3bRbiD-azYJaQ%3D%3D,No,Data not available at sub-ADMIN1,
Bharti_etal_2016,https://pubmed.ncbi.nlm.nih.gov/27518538/,Yes,,
Bosco_etal_2020,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7449024/,No,Data not available at sub-ADMIN1,
Bosco_etal_2020B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7774953/,No,Data not available at sub-ADMIN1,
Boush_etal_2020,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7393171/,No,Less than 10 samples total,
CDC1,http://pdf.usaid.gov/pdf_docs/PA00JT5W.pdf,No,Data not available at sub-ADMIN1,
Costa_etal_2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8491578/,No,Data not available at sub-ADMIN1,
de_la_Fuente_etal_2023,https://pubmed.ncbi.nlm.nih.gov/36573593/,No,Data not available at sub-ADMIN1,
Deme_etal_2014,https://malariajournal.biomedcentral.com/articles/10.1186/1475-2875-13-34,No,Less than 5 deletions total,
Dong_etal_2019,https://malariajournal.biomedcentral.com/articles/10.1186/s12936-019-3084-4#citeas,No,Data not available at sub-ADMIN1,
Dorado_etal_2016,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0163137,Yes,,
Eyong_etal_2022,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9216387/,No,Data not available at sub-ADMIN1,
Feleke_etal_2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8478644/,Yes,,Used 2 HRP2- results from supplementary excel sheet
Fontecha_etal_2018,https://malariajournal.biomedcentral.com/articles/10.1186/s12936-018-2470-7,Yes,,
Funwei_etal_2019,https://pubmed.ncbi.nlm.nih.gov/31103699/,No,Data not available at sub-ADMIN1,
Gamboa_etal_2010,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0008091,Yes,,
Gibbons_etal_2020,https://academic.oup.com/jid/article/222/9/1561/5835314?login=false,No,Data not available at sub-ADMIN1,
Girma_etal_2018,https://academic.oup.com/cid/article/69/6/1003/5208346?login=false,No,Less than 5 deletions total,
Girma_etal_2019,https://academic.oup.com/cid/article-abstract/69/6/1003/5208346?redirectedFrom=fulltext,No,Data not available at sub-ADMIN1,
Goes_etal_2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7795390/,No,Data not available at sub-ADMIN1,
Golassa_etal_2020,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7644029/,No,Data not available at sub-ADMIN1,
Grignard_etal_2020,https://www.sciencedirect.com/science/article/pii/S2352396420301328#bib0042,No,Less than 5 deletions total,
Gupta_etal_2017,https://malariajournal.biomedcentral.com/articles/10.1186/s12936-017-2061-z,No,Less than 5 deletions total,
Herman_etal_2019,https://malariajournal.biomedcentral.com/articles/10.1186/s12936-019-3010-9#citeas,No,Less than 10 samples total,
Hosch_etal_2022,https://malariajournal.biomedcentral.com/articles/10.1186/s12936-022-04043-7#citeas,No,Less than 5 deletions total,
Houze_etal_2011,https://pubmed.ncbi.nlm.nih.gov/21543573/,No,Less than 10 samples total,
Iriart_etal_2020,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7534257/,No,Data not available at sub-ADMIN1,
Kaaya_etal_2022,https://www.nature.com/articles/s41598-022-09878-3,No,Less than 5 deletions total,
